Date,VOLATILITY_30D,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,RSI_14D,RSI_30D,PX_TO_EBITDA,PX_TO_CASH_FLOW,REL_5D
01/01/2013,#N/A N/A,0.1102,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.968
01/02/2013,36.202,-0.0669,#N/A N/A,#N/A N/A,#N/A N/A,53.0507,53.5637,8.6805,9.0694,2.809
01/03/2013,36.304,0.1362,#N/A N/A,#N/A N/A,#N/A N/A,50.0657,52.3111,8.5709,8.9549,-1.057
01/04/2013,37.183,-0.1088,#N/A N/A,#N/A N/A,#N/A N/A,44.2309,49.694,8.3322,8.7055,-1.373
01/07/2013,36.699,0.1138,#N/A N/A,#N/A N/A,#N/A N/A,43.1195,49.1714,8.2832,8.6543,-3.387
01/08/2013,35.207,0.2998,#N/A N/A,#N/A N/A,#N/A N/A,43.8111,49.4217,8.3055,8.6776,-5.725
01/09/2013,35.364,0.1601,#N/A N/A,#N/A N/A,#N/A N/A,40.7077,47.9981,8.1757,8.542,-4.265
01/10/2013,35.71,0.3251,#N/A N/A,#N/A N/A,#N/A N/A,44.0406,49.1804,8.277,8.6478,-1.646
01/11/2013,35.424,0.2324,#N/A N/A,#N/A N/A,#N/A N/A,42.7448,48.6079,8.2263,8.5948,-4.8
01/14/2013,36.696,0.1672,#N/A N/A,#N/A N/A,#N/A N/A,36.1291,45.4453,7.933,8.2884,-8.453
01/15/2013,37.484,-0.5493,#N/A N/A,#N/A N/A,#N/A N/A,31.6302,42.9768,7.6827,8.0269,-2.901
01/16/2013,39.856,-0.2801,#N/A N/A,#N/A N/A,#N/A N/A,41.6076,46.7867,8.0016,8.3601,-4.551
01/17/2013,34.928,0.2739,#N/A N/A,#N/A N/A,#N/A N/A,40.5308,46.2463,7.9477,8.3038,-4.802
01/18/2013,34.488,0.1373,#N/A N/A,#N/A N/A,#N/A N/A,39.6619,45.816,7.9053,8.2595,#N/A N/A
01/21/2013,#N/A N/A,0.2084,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-0.873
01/22/2013,33.94,-0.1754,#N/A N/A,#N/A N/A,#N/A N/A,42.0433,46.7285,7.9807,8.3383,4.19
01/23/2013,34.428,0.2108,#N/A N/A,#N/A N/A,#N/A N/A,46.4498,48.4667,8.1267,8.4908,-12.306
01/24/2013,51.494,0.3121,#N/A N/A,#N/A N/A,#N/A N/A,29.7173,39.3364,7.1227,7.4418,-13.775
01/25/2013,51.755,0.4219,#N/A N/A,#N/A N/A,#N/A N/A,27.9069,38.0949,6.9548,7.2664,-10.886
01/28/2013,52.379,0.1808,#N/A N/A,#N/A N/A,#N/A N/A,32.0818,39.9323,7.1121,7.4307,-10.132
01/29/2013,51.853,0.1724,#N/A N/A,#N/A N/A,#N/A N/A,35.4942,41.4571,7.2455,7.5701,-11.547
01/30/2013,51.434,0.1318,#N/A N/A,#N/A N/A,#N/A N/A,35.1695,41.2722,7.2228,7.5464,0.886
01/31/2013,50.411,0.0528,#N/A N/A,#N/A N/A,#N/A N/A,34.85,41.0958,7.2016,7.5242,2.428
02/01/2013,50.337,0.1575,#N/A N/A,#N/A N/A,#N/A N/A,34.3807,40.8437,7.172,7.4933,-1.377
02/04/2013,50.688,0.0356,#N/A N/A,#N/A N/A,#N/A N/A,31.6095,39.3348,6.9933,7.3066,-0.321
02/05/2013,52.099,-0.0463,#N/A N/A,#N/A N/A,#N/A N/A,38.8957,42.3607,7.2388,7.5631,-0.559
02/06/2013,52.077,0.0463,#N/A N/A,#N/A N/A,#N/A N/A,38.7542,42.2913,7.231,7.5549,2.027
02/07/2013,52.647,0.1472,#N/A N/A,#N/A N/A,#N/A N/A,43.6136,44.3666,7.4028,7.7345,4.38
02/08/2013,52.867,0.1009,#N/A N/A,#N/A N/A,#N/A N/A,46.4587,45.6247,7.5097,7.8462,6.98
02/11/2013,52.951,0.1116,#N/A N/A,#N/A N/A,#N/A N/A,48.5075,46.5404,7.588,7.9279,1.649
02/12/2013,51.454,0.1048,#N/A N/A,#N/A N/A,#N/A N/A,44.0916,44.6499,7.3978,7.7292,1.561
02/13/2013,50.267,-0.0439,#N/A N/A,#N/A N/A,#N/A N/A,43.7741,44.5116,7.3837,7.7145,-1.133
02/14/2013,50.236,-0.1104,#N/A N/A,#N/A N/A,#N/A N/A,43.6145,44.4443,7.3771,7.7076,-3.239
02/15/2013,49.806,-0.0934,#N/A N/A,#N/A N/A,#N/A N/A,41.1413,43.4058,7.2754,7.6014,#N/A N/A
02/18/2013,#N/A N/A,-0.05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-5.027
02/19/2013,49.821,-0.2978,#N/A N/A,#N/A N/A,#N/A N/A,41.075,43.3781,7.2727,7.5986,-3.597
02/20/2013,50.122,-0.1428,#N/A N/A,#N/A N/A,#N/A N/A,36.8797,41.578,7.0966,7.4145,-3.347
02/21/2013,50.021,-0.1526,#N/A N/A,#N/A N/A,#N/A N/A,35.8909,41.1358,7.0525,7.3684,-3.014
02/22/2013,49.968,0.0609,#N/A N/A,#N/A N/A,#N/A N/A,38.8945,42.2183,7.1276,7.4469,-1.707
02/25/2013,50.114,-0.0519,#N/A N/A,#N/A N/A,#N/A N/A,35.8447,40.906,7.0009,7.3146,-0.179
02/26/2013,49.503,0.0673,#N/A N/A,#N/A N/A,#N/A N/A,39.7629,42.3343,7.0985,7.4165,-1.217
02/27/2013,48.768,0.1661,#N/A N/A,#N/A N/A,#N/A N/A,37.9815,41.5927,7.0289,7.3438,-1.846
02/28/2013,46.85,-0.0582,#N/A N/A,#N/A N/A,#N/A N/A,36.7055,41.0566,6.9788,7.2915,-4.675
03/01/2013,47.243,0.0872,#N/A N/A,#N/A N/A,#N/A N/A,32.6348,39.2522,6.806,7.1109,-7.461
03/04/2013,47.59,0.0732,#N/A N/A,#N/A N/A,#N/A N/A,29.2988,37.6216,6.6413,6.9388,-6.643
03/05/2013,48.344,-0.1581,#N/A N/A,#N/A N/A,#N/A N/A,36.7161,40.3508,6.8167,7.1221,-5.835
03/06/2013,47.829,0.1226,#N/A N/A,#N/A N/A,#N/A N/A,34.7747,39.4681,6.73,7.0315,-4.319
03/07/2013,28.148,-0.2114,#N/A N/A,#N/A N/A,#N/A N/A,37.946,40.6731,6.8078,7.1128,-1.842
03/08/2013,27.304,-0.1343,#N/A N/A,#N/A N/A,#N/A N/A,38.6885,40.9543,6.8258,7.1316,2.164
03/11/2013,26.766,0.0321,#N/A N/A,#N/A N/A,#N/A N/A,42.6804,42.4787,6.923,7.2332,-1.442
03/12/2013,26.763,-0.1869,#N/A N/A,#N/A N/A,#N/A N/A,38.5332,40.8059,6.7737,7.0772,-0.214
03/13/2013,26.769,-0.3624,#N/A N/A,#N/A N/A,#N/A N/A,38.4991,40.7918,6.7725,7.0759,-0.773
03/14/2013,27.002,-0.0821,#N/A N/A,#N/A N/A,#N/A N/A,41.3997,41.8684,6.8381,7.1445,2.139
03/15/2013,28.193,0.1847,#N/A N/A,#N/A N/A,#N/A N/A,48.4417,44.6675,7.0145,7.3288,4.353
03/18/2013,28.306,0.1182,#N/A N/A,#N/A N/A,#N/A N/A,54.7676,47.4938,7.2052,7.528,6.366
03/19/2013,26.344,0.2639,#N/A N/A,#N/A N/A,#N/A N/A,54.0394,47.2393,7.1858,7.5077,5.256
03/20/2013,26.387,0.1796,#N/A N/A,#N/A N/A,#N/A N/A,52.5645,46.7315,7.1477,7.4679,5.858
03/21/2013,25.339,0.2743,#N/A N/A,#N/A N/A,#N/A N/A,52.9376,46.8908,7.1579,7.4786,4.368
03/22/2013,25.72,0.1638,#N/A N/A,#N/A N/A,#N/A N/A,57.9656,49.1136,7.3031,7.6303,1.752
03/25/2013,25.522,0.4388,#N/A N/A,#N/A N/A,#N/A N/A,58.8274,49.5113,7.3295,7.6579,0.461
03/26/2013,24.44,0.2351,#N/A N/A,#N/A N/A,#N/A N/A,56.9861,48.9323,7.2908,7.6175,-0.265
03/27/2013,25.116,0.3308,#N/A N/A,#N/A N/A,#N/A N/A,50.6588,46.8332,7.1477,7.4679,-3.682
03/28/2013,25.815,0.0948,#N/A N/A,#N/A N/A,#N/A N/A,45.0549,44.7667,7.2397,7.519,#N/A N/A
03/29/2013,#N/A N/A,0.2239,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-7.458
04/01/2013,27.093,0.1505,#N/A N/A,#N/A N/A,#N/A N/A,38.3808,41.9704,7.0149,7.2854,-8.384
04/02/2013,27.12,-0.1463,#N/A N/A,#N/A N/A,#N/A N/A,39.005,42.2099,7.0293,7.3004,-5.713
04/03/2013,26.309,-0.1132,#N/A N/A,#N/A N/A,#N/A N/A,40.6192,42.8184,7.0652,7.3377,-5.214
04/04/2013,26.396,-0.1548,#N/A N/A,#N/A N/A,#N/A N/A,38.4882,41.9311,6.9954,7.2652,-3.417
04/05/2013,26.261,0.1255,#N/A N/A,#N/A N/A,#N/A N/A,36.3163,41.0007,6.9215,7.1884,-0.687
04/08/2013,25.935,-0.2157,#N/A N/A,#N/A N/A,#N/A N/A,38.7933,41.889,6.9707,7.2395,-0.55
04/09/2013,25.529,0.4529,#N/A N/A,#N/A N/A,#N/A N/A,39.4422,42.1196,6.9833,7.2526,-1.306
04/10/2013,26.217,0.3922,#N/A N/A,#N/A N/A,#N/A N/A,46.3687,44.6881,7.1257,7.4006,-0.583
04/11/2013,26.153,-0.0657,#N/A N/A,#N/A N/A,#N/A N/A,45.4937,44.3701,7.1035,7.3775,-0.714
04/12/2013,25.231,0.3266,#N/A N/A,#N/A N/A,#N/A N/A,42.6095,43.308,7.0294,7.3005,-0.813
04/15/2013,25.136,0.1476,#N/A N/A,#N/A N/A,#N/A N/A,37.0529,41.0741,6.8667,7.1315,-0.551
04/16/2013,24.279,0.2436,#N/A N/A,#N/A N/A,#N/A N/A,42.2605,43.0265,6.9712,7.2401,-5.421
04/17/2013,29.36,0.151,#N/A N/A,#N/A N/A,#N/A N/A,31.8511,38.2208,6.5878,6.8419,-6.704
04/18/2013,29.989,-0.3495,#N/A N/A,#N/A N/A,#N/A N/A,28.3965,36.2975,6.412,6.6593,-7.174
04/19/2013,29.934,0.323,#N/A N/A,#N/A N/A,#N/A N/A,27.9352,36.0322,6.3872,6.6335,-5.661
04/22/2013,30.348,0.3392,#N/A N/A,#N/A N/A,#N/A N/A,34.1092,38.5209,6.5203,6.7718,-4.972
04/23/2013,30.46,0.4503,#N/A N/A,#N/A N/A,#N/A N/A,39.2462,40.7079,6.6423,6.8985,-1.047
04/24/2013,30.456,0.454,#N/A N/A,#N/A N/A,#N/A N/A,38.9533,40.5742,6.6314,6.8871,1.303
04/25/2013,30.378,0.2815,#N/A N/A,#N/A N/A,#N/A N/A,41.0236,41.4433,6.6791,6.9367,5.008
04/26/2013,30.057,0.3135,#N/A N/A,#N/A N/A,#N/A N/A,46.8899,44.0053,6.8234,7.0866,5.783
04/29/2013,30.403,0.2371,#N/A N/A,#N/A N/A,#N/A N/A,54.0873,47.4839,7.0346,7.306,7.742
04/30/2013,31.786,0.083,#N/A N/A,#N/A N/A,#N/A N/A,59.8336,50.5962,7.2417,7.521,8.075
05/01/2013,31.829,0.0901,#N/A N/A,#N/A N/A,#N/A N/A,57.6901,49.7553,7.1846,7.4617,8.246
05/02/2013,32.142,0.1043,#N/A N/A,#N/A N/A,#N/A N/A,60.4162,51.2514,7.2865,7.5675,5.706
05/03/2013,31.678,0.4135,#N/A N/A,#N/A N/A,#N/A N/A,62.2895,52.3033,7.3595,7.6433,5.53
05/06/2013,32.495,0.1515,#N/A N/A,#N/A N/A,#N/A N/A,66.4083,54.734,7.535,7.8256,1.777
05/07/2013,32.484,0.2355,#N/A N/A,#N/A N/A,#N/A N/A,64.9474,54.1877,7.5014,7.7907,2.356
05/08/2013,32.069,0.1261,#N/A N/A,#N/A N/A,#N/A N/A,66.9261,55.3519,7.5861,7.8787,0.692
05/09/2013,31.751,-0.0995,#N/A N/A,#N/A N/A,#N/A N/A,61.8002,53.4353,7.4705,7.7586,-0.524
05/10/2013,30.261,0.1665,#N/A N/A,#N/A N/A,#N/A N/A,59.1767,52.426,7.4084,7.6941,-2.279
05/13/2013,30.267,0.0587,#N/A N/A,#N/A N/A,#N/A N/A,60.0279,52.8551,7.4373,7.7242,-4.656
05/14/2013,31.241,0.0861,#N/A N/A,#N/A N/A,#N/A N/A,52.7475,49.9881,7.2594,7.5393,-8.998
05/15/2013,32.849,0.1422,#N/A N/A,#N/A N/A,#N/A N/A,44.694,46.3964,7.0139,7.2844,-6.23
05/16/2013,32.904,-0.1339,#N/A N/A,#N/A N/A,#N/A N/A,47.9594,47.8749,7.1076,7.3817,-6.288
05/17/2013,32.867,0.1414,#N/A N/A,#N/A N/A,#N/A N/A,47.2678,47.5626,7.086,7.3593,-4.498
05/20/2013,33.493,-0.0517,#N/A N/A,#N/A N/A,#N/A N/A,52.6612,50.0361,7.2442,7.5235,-2.063
05/21/2013,33.061,0.131,#N/A N/A,#N/A N/A,#N/A N/A,50.7702,49.2239,7.1907,7.468,3.129
05/22/2013,33.06,-0.1127,#N/A N/A,#N/A N/A,#N/A N/A,51.7371,49.6618,7.2184,7.4968,1.738
05/23/2013,32.883,-0.1019,#N/A N/A,#N/A N/A,#N/A N/A,52.2061,49.8693,7.2312,7.5101,3.857
05/24/2013,32.035,0.0409,#N/A N/A,#N/A N/A,#N/A N/A,54.0479,50.6749,7.2805,7.5613,#N/A N/A
05/27/2013,#N/A N/A,-0.1816,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.037
05/28/2013,31.915,-0.2225,#N/A N/A,#N/A N/A,#N/A N/A,51.4171,49.6572,7.2198,7.4982,2.48
05/29/2013,26.449,0.0746,#N/A N/A,#N/A N/A,#N/A N/A,53.7127,50.6277,7.2772,7.5579,2.375
05/30/2013,24.892,0.1099,#N/A N/A,#N/A N/A,#N/A N/A,57.7705,52.4195,7.3856,7.6705,2.951
